Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
"RT @Ryan_opX: Os irmãos MDS😭

Jade Piton/#FORAMARIA/BBB/ #ForaArthur meu ovo https://t.co/AvonIFqMuu",{'😭'},'alegria',318,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['rt', 'os', 'irmãos', 'mds', 'jade', 'piton', 'bbb', 'meu', 'ovo']","['rt', 'os', 'irmãos', 'mds', 'jade', 'piton', 'bbb', 'meu', 'ovo']",,1725
"Os irmãos MDS😭

Jade Piton/#FORAMARIA/BBB/ #ForaArthur meu ovo https://t.co/AvonIFqMuu",{'😭'},'alegria',318,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['os', 'irmãos', 'mds', 'jade', 'piton', 'bbb', 'meu', 'ovo']","['os', 'irmãos', 'mds', 'jade', 'piton', 'bbb', 'meu', 'ovo']",mar,138
"@bbb Maria devia ser EXPULSA, agressão a Arthur.  Deu um TAPA na hora de colocar a placa!! #FORAMARIA",set(),'raiva',318,[0.17],[0.04],[0.33],[0.0],[0.45],[0.0],[0.0],"['a', 'maria', 'devia', 'ser', 'expulsa', 'agressão', 'arthur', 'deu', 'um', 'tapa', 'na', 'hora', 'de', 'colocar', 'placa']","['a', 'maria', 'devia', 'ser', 'expulsa', 'agressão', 'arthur', 'deu', 'um', 'tapa', 'na', 'hora', 'de', 'colocar', 'placa']",rt,94
Eu passei uns dias sem ver o BBB e a única coisa que tá igual é que as pessoas querem que o Arthur fique pra contin… https://t.co/tByqosSmim,set(),'alegria',318,[0.36],[0.09],[0.35],[0.01],[0.19],[0.0],[0.01],"['que', 'o', 'eu', 'passei', 'uns', 'dias', 'sem', 'ver', 'bbb', 'e', 'a', 'única', 'coisa', 'tá', 'igual', 'é', 'as', 'pessoas', 'querem', 'arthur', 'fique', 'pra', 'contin']","['que', 'o', 'eu', 'passei', 'uns', 'dias', 'sem', 'ver', 'bbb', 'e', 'a', 'única', 'coisa', 'tá', 'igual', 'é', 'as', 'pessoas', 'querem', 'arthur', 'fique', 'pra', 'contin']",bbb,83
"RT @vitoriamoedo: Se fosse o @neymarjr levando esse tapão na testa, tinha se jogado no chão e tava rolando até agora.
#FORAMARIA
#bbb #bbb2…",set(),'alegria',318,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['se', 'rt', 'fosse', 'o', 'levando', 'esse', 'tapão', 'na', 'testa', 'tinha', 'jogado', 'no', 'chão', 'e', 'tava', 'rolando', 'até', 'agora']","['se', 'rt', 'fosse', 'o', 'levando', 'esse', 'tapão', 'na', 'testa', 'tinha', 'jogado', 'no', 'chão', 'e', 'tava', 'rolando', 'até', 'agora']",arthur,80
"Eu assisto BBB TODOS ESTÃO JOGANDO. NÃO SE POSICIONAR É UM JOGO. SE A EQUIPE NÃO SE POSICIONA, ENTREGA PS PONTOS FE… https://t.co/ktJLQnJZHF",set(),'alegria',318,[0.53],[0.06],[0.26],[0.0],[0.14],[0.0],[0.01],"['se', 'não', 'eu', 'assisto', 'bbb', 'todos', 'estão', 'jogando', 'posicionar', 'é', 'um', 'jogo', 'a', 'equipe', 'posiciona', 'entrega', 'ps', 'pontos', 'fe']","['se', 'não', 'eu', 'assisto', 'bbb', 'todos', 'estão', 'jogando', 'posicionar', 'é', 'um', 'jogo', 'a', 'equipe', 'posiciona', 'entrega', 'ps', 'pontos', 'fe']",agress,65
"Gente que ranço de famoso que fica seguindo o fluxo pra ganhar like em cima do Big Brother kkk mdssss 🗣️🤯

#BbB22… https://t.co/eTzsIHrku1","{'🗣️', '🤯'}",'neutro',318,[0.21],[0.05],[0.62],[0.0],[0.11],[0.0],[0.01],"['que', 'gente', 'ranço', 'de', 'famoso', 'fica', 'seguindo', 'o', 'fluxo', 'pra', 'ganhar', 'like', 'em', 'cima', 'do', 'big', 'brother', 'kkk', 'mdssss']","['que', 'gente', 'ranço', 'de', 'famoso', 'fica', 'seguindo', 'o', 'fluxo', 'pra', 'ganhar', 'like', 'em', 'cima', 'do', 'big', 'brother', 'kkk', 'mdssss']",faz,48
RT @DiihOliveira96: #FORAMARIA #bbb,set(),'alegria',318,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],['rt'],['rt'],expuls,41
"Já pensou o Tadeu anuncia no ao vivo de hoje que a maria está eliminada por agressão? BONINHOOOOO #FORAMARIA 
BBB F… https://t.co/X4Ut1I4wXK",set(),'alegria',318,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['já', 'pensou', 'o', 'tadeu', 'anuncia', 'no', 'ao', 'vivo', 'de', 'hoje', 'que', 'a', 'maria', 'está', 'eliminada', 'por', 'agressão', 'boninhooooo', 'bbb', 'f']","['já', 'pensou', 'o', 'tadeu', 'anuncia', 'no', 'ao', 'vivo', 'de', 'hoje', 'que', 'a', 'maria', 'está', 'eliminada', 'por', 'agressão', 'boninhooooo', 'bbb', 'f']",coloc,40
RT @Vyh_Saraiva: E esse tapa que a Maria deu no Arthur? Se fosse ele colocando a placa nela desse jeito iam fazer um show. Pode isso produç…,set(),'neutro',318,[0.13],[0.03],[0.78],[0.0],[0.05],[0.0],[0.0],"['a', 'rt', 'e', 'esse', 'tapa', 'que', 'maria', 'deu', 'no', 'arthur', 'se', 'fosse', 'ele', 'colocando', 'placa', 'nela', 'desse', 'jeito', 'iam', 'fazer', 'um', 'show', 'pode', 'isso', 'produç']","['a', 'rt', 'e', 'esse', 'tapa', 'que', 'maria', 'deu', 'no', 'arthur', 'se', 'fosse', 'ele', 'colocando', 'placa', 'nela', 'desse', 'jeito', 'iam', 'fazer', 'um', 'show', 'pode', 'isso', 'produç']",ser,36
