Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
"@Aguiarthur Ha vídeo aonde a Maria lixo confirma que agrediu 
E ai @boninho @bbb 
Ela cometeu um crime de contraven… https://t.co/V7tdInXa0A",set(),'alegria',97,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['ha', 'vídeo', 'aonde', 'a', 'maria', 'lixo', 'confirma', 'que', 'agrediu', 'e', 'ai', 'ela', 'cometeu', 'um', 'crime', 'de', 'contraven']","['ha', 'vídeo', 'aonde', 'a', 'maria', 'lixo', 'confirma', 'que', 'agrediu', 'e', 'ai', 'ela', 'cometeu', 'um', 'crime', 'de', 'contraven']",,413
Meu que palhaçada é essa a Maria empurrando a cabeça do Arthur Aguiar. Engraçado que se fosse ele ganharia expulsão… https://t.co/b53qHb9rx3,set(),'neutro',97,[0.26],[0.06],[0.52],[0.0],[0.14],[0.0],[0.01],"['que', 'a', 'meu', 'palhaçada', 'é', 'essa', 'maria', 'empurrando', 'cabeça', 'do', 'arthur', 'aguiar', 'engraçado', 'se', 'fosse', 'ele', 'ganharia', 'expulsão']","['que', 'a', 'meu', 'palhaçada', 'é', 'essa', 'maria', 'empurrando', 'cabeça', 'do', 'arthur', 'aguiar', 'engraçado', 'se', 'fosse', 'ele', 'ganharia', 'expulsão']",mar,47
@RealitysVip Meu que palhaçada é essa a Maria empurrando a cabeça do Arthur Aguiar. Engraçado que se fosse ele ganh… https://t.co/oZC5niMecn,set(),'neutro',97,[0.26],[0.06],[0.52],[0.0],[0.14],[0.0],[0.01],"['que', 'a', 'meu', 'palhaçada', 'é', 'essa', 'maria', 'empurrando', 'cabeça', 'do', 'arthur', 'aguiar', 'engraçado', 'se', 'fosse', 'ele', 'ganh']","['que', 'a', 'meu', 'palhaçada', 'é', 'essa', 'maria', 'empurrando', 'cabeça', 'do', 'arthur', 'aguiar', 'engraçado', 'se', 'fosse', 'ele', 'ganh']",arthur,31
"E ai @boninho , @tadeuschmidt ? Pode? No tapinha q a Ana deu no Renan você expulsou ela. E isso pode? Essa garota f… https://t.co/ve8LTyV3In",set(),'alegria',97,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['e', 'pode', 'no', 'ai', 'tapinha', 'q', 'a', 'ana', 'deu', 'renan', 'você', 'expulsou', 'ela', 'isso', 'essa', 'garota', 'f']","['e', 'pode', 'no', 'ai', 'tapinha', 'q', 'a', 'ana', 'deu', 'renan', 'você', 'expulsou', 'ela', 'isso', 'essa', 'garota', 'f']",agress,23
O Brasil quer MARIA EXPULSA! @bbb @boninho #bbb2022 #bbb #MariaExpulsa #arthuraguiar,set(),'alegria',97,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'brasil', 'quer', 'maria', 'expulsa']","['o', 'brasil', 'quer', 'maria', 'expulsa']",expuls,16
E aí a agressão da Maria vai fica por isso mesmo @bbb @boninho bora subir a #MariaMereceExpulsao #MariaExpulsa,set(),'neutro',97,[0.11],[0.05],[0.66],[0.0],[0.17],[0.0],[0.01],"['a', 'e', 'aí', 'agressão', 'da', 'maria', 'vai', 'fica', 'por', 'isso', 'mesmo', 'bora', 'subir']","['a', 'e', 'aí', 'agressão', 'da', 'maria', 'vai', 'fica', 'por', 'isso', 'mesmo', 'bora', 'subir']",rt,14
"A própria Maria assumiu que foi agressiva, debochou do que fez, e ainda fez piada caso o Arthur reclamasse. Os outr… https://t.co/u71Zou0y8J",set(),'neutro',97,[0.21],[0.05],[0.62],[0.0],[0.11],[0.0],[0.01],"['que', 'fez', 'a', 'própria', 'maria', 'assumiu', 'foi', 'agressiva', 'debochou', 'do', 'e', 'ainda', 'piada', 'caso', 'o', 'arthur', 'reclamasse', 'os', 'outr']","['que', 'fez', 'a', 'própria', 'maria', 'assumiu', 'foi', 'agressiva', 'debochou', 'do', 'e', 'ainda', 'piada', 'caso', 'o', 'arthur', 'reclamasse', 'os', 'outr']",agred,11
"Se fosse ao contrário barriga Maria da Penha né @boninho ? 
Quando vão tomar uma providência @bbb  @tvglobo… https://t.co/kwEIBRnfBf",set(),'alegria',97,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['se', 'fosse', 'ao', 'contrário', 'barriga', 'maria', 'da', 'penha', 'né', 'quando', 'vão', 'tomar', 'uma', 'providência']","['se', 'fosse', 'ao', 'contrário', 'barriga', 'maria', 'da', 'penha', 'né', 'quando', 'vão', 'tomar', 'uma', 'providência']",test,10
"@eumaria Uma pergunta
Sobre o ato "" tacar a placa na testa"" do Arthur??? A PROPRIA em DIÁLOGO COM A TAL  ESLOVÊNIA… https://t.co/0GceW03vsS",set(),'alegria',97,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['a', 'uma', 'pergunta', 'sobre', 'o', 'ato', 'tacar', 'placa', 'na', 'testa', 'do', 'arthur', 'propria', 'em', 'diálogo', 'com', 'tal', 'eslovênia']","['a', 'uma', 'pergunta', 'sobre', 'o', 'ato', 'tacar', 'placa', 'na', 'testa', 'do', 'arthur', 'propria', 'em', 'diálogo', 'com', 'tal', 'eslovênia']",bbb,10
"E aí @boninho, não vai ter pelo menos uma punição para a Maria? #BBB22 Essa Maria Gente a Maria Expulsao #MariaExpulsa @bbb",set(),'neutro',97,[0.23],[0.06],[0.46],[0.0],[0.25],[0.0],[0.01],"['maria', 'a', 'e', 'aí', 'não', 'vai', 'ter', 'pelo', 'menos', 'uma', 'punição', 'para', 'essa', 'gente', 'expulsao']","['maria', 'a', 'e', 'aí', 'não', 'vai', 'ter', 'pelo', 'menos', 'uma', 'punição', 'para', 'essa', 'gente', 'expulsao']",ai,9
