Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
RT @caarolinga: soundtrack de euphoria no bbb,set(),'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['rt', 'soundtrack', 'de', 'euphoria', 'no', 'bbb']","['rt', 'soundtrack', 'de', 'euphoria', 'no', 'bbb']",,57
fiz pastel e vou matar as duas cervejas q tem aqui pra esperar esse bbb 🙏🏽,{'🙏'},'neutro',11,[0.27],[0.19],[0.41],[0.0],[0.11],[0.0],[0.01],"['fiz', 'pastel', 'e', 'vou', 'matar', 'as', 'duas', 'cervejas', 'q', 'tem', 'aqui', 'pra', 'esperar', 'esse', 'bbb']","['fiz', 'pastel', 'e', 'vou', 'matar', 'as', 'duas', 'cervejas', 'q', 'tem', 'aqui', 'pra', 'esperar', 'esse', 'bbb']",bbb,8
Rolê na casa DA MINHA MÃE pra comer pastel e assistir BBB. Eu amo meus amigos 😂,{'😂'},'alegria',11,[0.53],[0.06],[0.26],[0.0],[0.14],[0.0],[0.01],"['rolê', 'na', 'casa', 'da', 'minha', 'mãe', 'pra', 'comer', 'pastel', 'e', 'assistir', 'bbb', 'eu', 'amo', 'meus', 'amigos']","['rolê', 'na', 'casa', 'da', 'minha', 'mãe', 'pra', 'comer', 'pastel', 'e', 'assistir', 'bbb', 'eu', 'amo', 'meus', 'amigos']",pastel,6
"@dud4gambogi acabei de comer 3 pastel um melhor q o outro como pode 😭 

 https://t.co/l5PpBsq4Dw",{'😭'},'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['acabei', 'de', 'comer', 'pastel', 'um', 'melhor', 'q', 'o', 'outro', 'como', 'pode']","['acabei', 'de', 'comer', 'pastel', 'um', 'melhor', 'q', 'o', 'outro', 'como', 'pode']",q,4
como pode o brasileiro ter inventado o pastel a receita mais sofisticada que existe  https://t.co/l5PpBsq4Dw,set(),'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'como', 'pode', 'brasileiro', 'ter', 'inventado', 'pastel', 'a', 'receita', 'mais', 'sofisticada', 'que', 'existe']","['o', 'como', 'pode', 'brasileiro', 'ter', 'inventado', 'pastel', 'a', 'receita', 'mais', 'sofisticada', 'que', 'existe']",pra,3
"Aquí serà cambiar el pastel por netflix y un buen celular y BBB. Baile, Baraja y Botella... https://t.co/01tg9rI3Bz",set(),'neutro',11,[0.16],[0.07],[0.63],[0.0],[0.12],[0.0],[0.01],"['y', 'aquí', 'serà', 'cambiar', 'el', 'pastel', 'por', 'netflix', 'un', 'buen', 'celular', 'bbb', 'baile', 'baraja', 'botella']","['y', 'aquí', 'serà', 'cambiar', 'el', 'pastel', 'por', 'netflix', 'un', 'buen', 'celular', 'bbb', 'baile', 'baraja', 'botella']",rt,2
RT @jaoseupimenta: Quando falo de privilégio branco: Monark falar pra milhões de pesosas que tem o direito de ser nazista e nada acontecer.…,set(),'neutro',11,[0.23],[0.06],[0.46],[0.0],[0.25],[0.0],[0.01],"['de', 'rt', 'quando', 'falo', 'privilégio', 'branco', 'monark', 'falar', 'pra', 'milhões', 'pesosas', 'que', 'tem', 'o', 'direito', 'ser', 'nazista', 'e', 'nada', 'acontecer']","['de', 'rt', 'quando', 'falo', 'privilégio', 'branco', 'monark', 'falar', 'pra', 'milhões', 'pesosas', 'que', 'tem', 'o', 'direito', 'ser', 'nazista', 'e', 'nada', 'acontecer']",fiz,2
"a única salvação pro bbb é uma edição q eu criei, BBB expresso, o dobro de participantes, paredão de quatro e votam… https://t.co/HqfpVi25vB",set(),'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['bbb', 'de', 'a', 'única', 'salvação', 'pro', 'é', 'uma', 'edição', 'q', 'eu', 'criei', 'expresso', 'o', 'dobro', 'participantes', 'paredão', 'quatro', 'e', 'votam']","['bbb', 'de', 'a', 'única', 'salvação', 'pro', 'é', 'uma', 'edição', 'q', 'eu', 'criei', 'expresso', 'o', 'dobro', 'participantes', 'paredão', 'quatro', 'e', 'votam']",cas,2
o povo do bbb putao pq o arthur tentou se livrar do paredão kkkkkkkkkkkkkkkkkk queria q fizesse oq porra?????? vão… https://t.co/i0eTdB3Zmk,set(),'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['o', 'do', 'povo', 'bbb', 'putao', 'pq', 'arthur', 'tentou', 'se', 'livrar', 'paredão', 'kkkkkkkkkkkkkkkkkk', 'queria', 'q', 'fizesse', 'oq', 'porra', 'vão']","['o', 'do', 'povo', 'bbb', 'putao', 'pq', 'arthur', 'tentou', 'se', 'livrar', 'paredão', 'kkkkkkkkkkkkkkkkkk', 'queria', 'q', 'fizesse', 'oq', 'porra', 'vão']",com,2
"cada ep desse bbb eu sinto mais saudades do Prior, ele já teria mandado todo mundo ir vender pastel na feira e discutido com a casa inteira",set(),'neutro',11,[0.08],[0.02],[0.81],[0.0],[0.09],[0.0],[0.0],"['cada', 'ep', 'desse', 'bbb', 'eu', 'sinto', 'mais', 'saudades', 'do', 'prior', 'ele', 'já', 'teria', 'mandado', 'todo', 'mundo', 'ir', 'vender', 'pastel', 'na', 'feira', 'e', 'discutido', 'com', 'a', 'casa', 'inteira']","['cada', 'ep', 'desse', 'bbb', 'eu', 'sinto', 'mais', 'saudades', 'do', 'prior', 'ele', 'já', 'teria', 'mandado', 'todo', 'mundo', 'ir', 'vender', 'pastel', 'na', 'feira', 'e', 'discutido', 'com', 'a', 'casa', 'inteira']",pod,2
"22 EDIÇÕES DE BBB E ESSE POVO SE INSCREVE CONHECENDO O JOGO E DEPOIS FICA DESCENDO O SARRAFO EM QUEM JOGA, AH, PELO… https://t.co/IgBCX8JsO4",set(),'alegria',11,[0.41],[0.05],[0.39],[0.0],[0.15],[0.0],[0.0],"['e', 'o', 'edições', 'de', 'bbb', 'esse', 'povo', 'se', 'inscreve', 'conhecendo', 'jogo', 'depois', 'fica', 'descendo', 'sarrafo', 'em', 'quem', 'joga', 'ah', 'pelo']","['e', 'o', 'edições', 'de', 'bbb', 'esse', 'povo', 'se', 'inscreve', 'conhecendo', 'jogo', 'depois', 'fica', 'descendo', 'sarrafo', 'em', 'quem', 'joga', 'ah', 'pelo']",fal,2
